Name,Overall Quality,Total Ratings,Hot,Easiness,Department,College
"Gorbachov, Yaroslav", ,0,Not Hot, ,Humanities,UChicago
"Gould, John", ,0,Not Hot, ,Business,UChicago
"Graupe, Daniel",5,1,Hot,5,Engineering,UChicago
"Green, Michael",3.9,11,Hot,2.4,Philosophy,UChicago
"Grodal, Jesper",1.8,2,Not Hot,3,Mathematics,UChicago
"Guay, Nicolas", ,0,Not Hot, ,Mathematics,UChicago
"Guiterrez, Juan", ,0,Not Hot, ,Biology,UChicago
"Gunning, Tom", ,0,Not Hot, ,Art History,UChicago
"Gzesh, Susan",4.5,1,Not Hot,4,Law,UChicago
"Hahn, Richard",3,1,Not Hot,1,Business,UChicago
"Hall, Jonathan",3.6,7,Hot,2.6,Classics,UChicago
"Hans, Sydney",3.2,8,Not Hot,3,Social Science,UChicago
"Harcourt, Bernard",3.5,9,Hot,3.4,Law,UChicago
"Hartman, Ben",4.8,2,Hot,4.5,Music,UChicago
"Haugeland, John",2.8,5,Hot,3.4,Philosophy,UChicago
"Hector, Kevin",5,1,Not Hot,4,Religion,UChicago
"Heller, Reinhold",4.5,1,Not Hot,4,Art History,UChicago
"Helsinger, Elizabeth",4,6,Hot,2.7,English,UChicago
"Herrigel, Gary",4.2,5,Hot,2.4,Political Science,UChicago
"Hevia, James", ,0,Not Hot, ,International Studies,UChicago
"Hanck, Dorothy",4.8,2,Not Hot,3,Biology,UChicago
"Hansen, Nathaniel", ,0,Not Hot, ,Humanities,UChicago
"Hastie, Reid",3.5,3,Not Hot,2.7,Business,UChicago
"Heckman, James",4.5,1,Hot,1,Economics,UChicago
"Hedges, Larry",3,3,Not Hot,3.7,Sociology,UChicago
"Hellie, ",2.8,3,Not Hot,2.3,History,UChicago
"Henly, Julia",5,1,Not Hot,3,Social Work,UChicago
"Herrmann, Diane",4.9,7,Hot,3,Mathematics,UChicago
"Hillhouse, Greg",3.3,6,Not Hot,3.8,Chemistry,UChicago
"Hitczenko, Marcin",4.5,1,Hot,4,Mathematics,UChicago
"Hoffman, Judy",5,1,Hot,4,Film,UChicago
"Holzhauer, James", ,0,Not Hot, ,Law,UChicago
"Hutchinson, Dennis",4.2,9,Not Hot,2.6,Law,UChicago
"Irakliotis, Leo",4,7,Not Hot,2.7,Computer Science,UChicago
"Izenberg, Oren",3.7,3,Not Hot,2,English,UChicago
"Jacob, Beth-Anne",5,1,Not Hot,4,Social Work,UChicago
"Joas, Hans",5,1,Not Hot,3,Sociology,UChicago
"Jones, Kristine",1,1,Not Hot,1,International Studies,UChicago
"Hocking, Joseph", ,0,Not Hot, ,Fine Arts,UChicago
"Holt, Thomas",5,1,Not Hot,4,History,UChicago
"Hota, Pinky",5,2,Hot,2.5,Anthropology,UChicago
"Ingham, Norman",3.8,3,Hot,3.7,Literature,UChicago
"Issa, Bernie", ,0,Not Hot, ,Languages,UChicago
"Jackson, Travis",3,1,Not Hot,3,Music,UChicago
"Jaeger, Heinrich",3.8,4,Hot,3.2,Physics,UChicago
"Jeuland, Abel P.",1,1,Not Hot,3,Marketing,UChicago
"Johnson, Waldo",3.5,4,Hot,3.2,Social Work,UChicago
"Jonsson, Fredrik",5,1,Hot,3,History,UChicago
"Jordan, Richard",4.1,5,Hot,2,Science,UChicago
"Kapstein, Matthew", ,0,Not Hot, ,Religion,UChicago
"Kashyap, Anil",1,1,Not Hot,2,Business,UChicago
"Kass, Leon",4.9,5,Not Hot,2.2,Philosophy,UChicago
"Kenny, Kim", ,0,Not Hot, ,Languages,UChicago
"Ketelaar, James", ,0,Not Hot, ,History,UChicago
"Khalidi, Rashid",3.3,15,Not Hot,2.9,History,UChicago
"Klivans, Caroline",4.8,2,Hot,1.5,Computer Science,UChicago
"Kobotis, Evangelis",3.2,3,Not Hot,1.7,Mathematics,UChicago
"Kolata, Alan",4.3,11,Hot,2.7,Anthropology,UChicago
"Kang, Woowon",4.5,1,Not Hot,5,Physics,UChicago
"Kareem, Sarah",1,1,Not Hot,2,Humanities,UChicago
"Kass, Amy",5,2,Not Hot,1.5,Humanities,UChicago
"Kendrick, Robert",2,1,Not Hot,2,Music,UChicago
"Kerr, Matt",3.5,2,Hot,3.5,Mathematics,UChicago
"Keysar, Boaz",3.9,9,Hot,2.4,Psychology,UChicago
"Kindt, Julia",4.9,4,Not Hot,3.2,Classics,UChicago
"Knight, Janice",3.4,7,Not Hot,4,English,UChicago
"Kohler, Sandra",5,1,Not Hot,3,Languages,UChicago
"Kolb, Edward",3.7,6,Not Hot,3.5,Science,UChicago
"Kozmin, Sergey",3.1,10,Hot,1.8,Chemistry,UChicago
"Kron, Richard",3.3,3,Not Hot,5,Science,UChicago
"Kroszner, Randy",3.3,3,Not Hot,2.3,Not Specified,UChicago
"Kurtz, Stuart", ,0,Hot, ,Computer Science,UChicago
"Lancaster, Ryon",1,1,Not Hot,1,Sociology,UChicago
"Lear, Gabriel",4.5,1,Hot,3,Humanities,UChicago
"Lee, Ka Yee",3.2,2,Not Hot,2,Chemistry,UChicago
"Leitzel, Jim",3.7,5,Not Hot,2.8,Economics,UChicago
"Levin, David",1.2,2,Not Hot,2,Languages,UChicago
"Levine, Judith",4.9,4,Hot,2.5,Social Work,UChicago
"Krishnan, Sanjeevi",3.5,4,Hot,3.8,Mathematics,UChicago
"Kron, Steve",2.9,12,Hot,1.6,Biology,UChicago
"Kruger, Loren", ,0,Not Hot, ,English,UChicago
"Labarbera, Michael",4.9,6,Not Hot,3.3,Biology,UChicago
"Larsen, Eric",4.7,3,Hot,3.3,Biology,UChicago
"Lear, Jonathan",3.6,8,Hot,2.2,Philosophy,UChicago
"Leiter, Brian",4.3,3,Not Hot,3.3,Philosophy,UChicago
"Letinsky, Laura",3.2,4,Not Hot,2.8,Fine Arts,UChicago
"Levin, Kathryn",2,1,Not Hot,3,Physics,UChicago
"Levitt, ",4.4,6,Hot,3,Economics,UChicago
"Levy, Donald",2.6,5,Not Hot,2.6,Chemistry,UChicago
"Lima, Ana Maria",5,3,Not Hot,4.7,Languages,UChicago
"Lin, Anning", ,0,Not Hot, ,Biology,UChicago
"Lipson, Charles",3.8,13,Not Hot,3.2,Political Science,UChicago
"Lozada, Nene", ,0,Not Hot, ,Languages,UChicago
"MacAloon, John",2.9,29,Not Hot,2.4,Social Science,UChicago
"MacPherson, Sandra",4.2,6,Hot,2.3,English,UChicago
"Majumdar, Boria",5,1,Not Hot,3,Sports,UChicago
"Marquardt, Sarah",4.4,8,Hot,4.2,Humanities,UChicago
"Martin, Pamela",1,1,Not Hot,5,Geophysical Sciences,UChicago
"Leyenson, Maxim",4,4,Not Hot,2.5,Mathematics,UChicago
"Lima, Victor",4.1,12,Hot,1.8,Economics,UChicago
